stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000375,375,Dromard Terrace,,53.3340611346518,-6.2143845130625,,,,
8220DB000381,381,St John's Church,,53.3243237661065,-6.21237419337667,,,,
8220DB000385,385,Newgrove Avenue,,53.332351,-6.211228,,,,
8220DB000387,387,Sandymount,,53.332499,-6.215741,,,,
8220DB000388,388,Farney Park,,53.334509,-6.21848,,,,
8220DB000389,389,Star of the Sea,,53.33529,-6.219634,,,,
8220DB000390,390,Tritonville Road,,53.3376299137845,-6.2222394793377,,,,
8220DB000391,391,Saint Brendan's Cottages,,53.340064,-6.223925,,,,
8220DB000392,392,Ringsend Village,,53.341734,-6.227415,,,,
8220DB000393,393,Tritonville Road,,53.336904,-6.222375,,,,
8220DB000395,395,Ringsend Road,,53.34194,-6.235277,,,,
8220DB000396,396,Grand Canal Quay,,53.342442,-6.239476,,,,
8220DB000397,397,Pearse Square,,53.342786,-6.242015,,,,
8220DB000398,398,Erne Street,,53.3432949350358,-6.24547844686789,,,,
8220DB000399,399,Pearse Street,,53.343867,-6.248309,,,,
8220DB000400,400,Shaw Street,,53.344849,-6.25339,,,,
8220DB000403,403,Nassau Street,,53.342714,-6.256706,,,,
8220DB000404,404,Nassau Street,,53.342663,-6.256348,,,,
8220DB000405,405,Nassau Street,,53.3424816891816,-6.2556043726643,,,,
8220DB000406,406,Nassau Street,,53.342606,-6.256125,,,,
8220DB000407,407,Custom House,,53.348335,-6.253893,,,,
8220DB000408,408,Merrion Square North,,53.3409707826238,-6.25001923957642,,,,
8220DB000409,409,Holles Street,,53.3401367313169,-6.24769559556976,,,,
8220DB000410,410,Mount Street Lower,,53.338814,-6.24389,,,,
8220DB000411,411,Mount Street Bridge,,53.338117,-6.241772,,,,
8220DB000412,412,Haddington Road,,53.335256,-6.237279,,,,
8220DB000413,413,Lansdowne Park,,53.334094,-6.236546,,,,
8220DB000414,414,Lansdowne Road,,53.331574,-6.234473,,,,
8220DB000415,415,American Embassy,,53.330338,-6.232948,,,,
8220DB000416,416,RDS Ballsbridge,,53.3286399201175,-6.22936956914703,,,,
8220DB000417,417,Merrion Road,,53.3277,-6.22597,,,,
8220DB000418,418,British Embassy,,53.32572,-6.223395,,,,
8220DB000419,419,Shrewsbury Park,,53.323995,-6.22045,,,,
8220DB000420,420,Merlyn Road,,53.321911,-6.217504,,,,
8220DB000421,421,Merrion View Avenue,,53.3200051794214,-6.21449112042242,,,,
8220DB000422,422,St Vincent's Hospital,,53.318064191863,-6.21032428070782,,,,
8220DB000423,423,Herbert Avenue,,53.317149,-6.207406,,,,
8220DB000424,424,Merrion Gates,,53.315394,-6.203727,,,,
8220DB000476,476,Merrion Gates,,53.315751,-6.204763,,,,
8220DB000477,477,Herbert Avenue,,53.316863,-6.206952,,,,
8220DB000478,478,St Vincent's Hospital,,53.3181142989155,-6.21126782530888,,,,
8220DB000479,479,Merrion Centre,,53.319144,-6.213401,,,,
8220DB000480,480,Netherlands Embassy,,53.32085,-6.216287,,,,
8220DB000481,481,Wanderers FC,,53.322761,-6.21883,,,,
8220DB000482,482,Shrewsbury Road,,53.324728,-6.221965,,,,
8220DB000483,483,British Embassy,,53.325944,-6.223972,,,,
8220DB000485,485,RDS Ballsbridge,,53.328252,-6.228635,,,,
8220DB000486,486,RDS Ballsbridge,,53.328329,-6.228992,,,,
8220DB000487,487,American Embassy,,53.330855,-6.233902,,,,
8220DB000488,488,Lansdowne Park,,53.333099,-6.236077,,,,
8220DB000489,489,St Mary's Road South,,53.334942,-6.237352,,,,
8220DB000490,490,Haddington Road,,53.336574,-6.238907,,,,
